Order_ID,Product_ID,Customer_ID,TimeID,Sales,Profit,Quantity,Discount
CA-2014-AB10015140-41954,TEC-PH-5816,AB-100151402,1,221.0,62.0,2,0.0
IN-2014-JR162107-41675,FUR-CH-5379,JR-162107,2,3709.0,-288.0,9,0.1
IN-2014-CR127307-41929,TEC-PH-5356,CR-127307,3,5175.0,919.0,9,0.1
ES-2014-KM1637548-41667,TEC-PH-5267,KM-1637548,4,2892.0,-96.0,5,0.1
SG-2014-RH9495111-41948,TEC-CO-6011,RH-9495111,5,2832.0,311.0,8,0.0
IN-2014-JM156557-41818,TEC-PH-5842,JM-156557,6,2862.0,763.0,5,0.1
IN-2012-TS2134092-41219,FUR-CH-5378,TS-2134092,7,1822.0,564.0,4,0.0
IN-2013-MB1808592-41378,FUR-TA-3764,MB-1808592,8,5244.0,996.0,6,0.0
CA-2014-AB10015140-41954,FUR-BO-5957,AB-100151402,1,341.0,54.0,2,0.0
CA-2012-AB10015140-40974,FUR-CH-4421,AB-100151404,9,48.0,5.0,1,0.2
CA-2012-AB10015140-40974,OFF-AR-5309,AB-100151404,9,17.0,4.0,3,0.0
ID-2013-AJ107801-41383,FUR-TA-3420,AJ-107801,10,4626.0,647.0,5,0.0
SA-2012-MM7260110-41269,TEC-PH-3807,MM-7260110,11,2616.0,1151.0,4,0.0
MX-2013-VF2171518-41591,FUR-CH-4530,VF-2171518,12,2221.0,622.0,7,0.0
IN-2014-PF1912027-41796,OFF-AP-4959,PF-1912027,13,3701.0,1036.0,12,0.0
ES-2015-BP1118545-42216,OFF-AP-3575,BP-1118545,14,1869.0,186.0,4,0.1
CA-2012-AB10015140-40958,OFF-ST-3078,AB-100151402,15,12.0,-2.0,2,0.2
ES-2015-PJ1883564-42255,OFF-AP-4743,PJ-1883564,16,7958.0,3979.0,14,0.0
IN-2015-JS156857-42035,TEC-CO-3597,JS-156857,17,2565.0,28.0,9,0.1
TZ-2015-RH9555129-42343,OFF-AP-4967,RH-9555129,18,3409.0,818.0,6,0.0
PL-2013-AB600103-41494,FUR-TA-4644,AB-600103,19,1977.0,276.0,4,0.0
CA-2012-AB10015140-40974,OFF-ST-3744,AB-100151404,9,242.0,4.0,3,0.0
IN-2012-JK1532527-41030,FUR-CH-5774,JK-1532527,20,2753.0,358.0,6,0.0
ES-2014-LB16795139-41697,OFF-AP-4960,LB-16795139,21,5273.0,1898.0,10,0.0
US-2015-NP1832582-42216,TEC-PH-5268,NP-1832582,14,1713.0,445.0,4,0.0
MX-2015-VD2167039-42252,FUR-TA-4643,VD-2167039,22,2106.0,526.0,8,0.2
IN-2012-PB19210127-41259,FUR-TA-5060,PB-19210127,23,1715.0,720.0,2,0.0
ES-2012-EB1411048-40981,OFF-AP-4743,EB-1411048,24,3069.0,1364.0,6,0.1
CA-2012-AH10030140-41020,OFF-FA-6129,AH-100301406,25,247.0,121.0,8,0.0
IN-2013-BP1123058-41329,FUR-CH-5443,BP-1123058,26,1878.0,582.0,4,0.0
US-2012-RR1952536-41270,TEC-PH-5841,RR-1952536,27,1696.0,-148.0,5,0.2
ES-2013-BS1136545-41472,TEC-MA-5503,BS-1136545,28,2402.0,763.0,9,0.15
CA-2013-AH10030140-41635,TEC-PH-4389,AH-100301404,29,668.0,75.0,9,0.2
IN-2012-DP131057-41215,OFF-AP-3579,DP-131057,30,2526.0,561.0,5,0.1
CA-2013-AH10030140-41635,OFF-ST-4291,AH-100301404,29,323.0,61.0,2,0.0
CG-2012-AH1003033-41165,TEC-PH-3148,AH-1003033,31,3817.0,1068.0,6,0.0
CA-2012-AH10030140-41041,FUR-CH-4840,AH-100301404,32,279.0,20.0,6,0.2
CA-2012-AH10030140-41273,TEC-AC-6340,AH-100301406,33,34.0,11.0,3,0.0
ES-2015-PO18865139-42018,TEC-CO-3598,PO-18865139,34,4141.0,1697.0,13,0.0
IN-2012-DL128657-40918,TEC-PH-5356,DL-128657,35,2875.0,511.0,5,0.1
ID-2014-JB1600059-41873,TEC-PH-5268,JB-1600059,36,3200.0,-77.0,6,0.17
IN-2015-BF1100558-42319,TEC-PH-5269,BF-1100558,37,4518.0,632.0,7,0.0
IN-2015-VG2180558-42273,FUR-BO-5951,VG-2180558,38,5667.0,2097.0,13,0.0
ES-2013-GT14710139-41621,TEC-PH-5267,GT-14710139,39,5785.0,404.0,9,0.0
IT-2012-ZC2191048-41174,OFF-AP-3874,ZC-2191048,40,3018.0,377.0,7,0.2
CA-2014-AH10030140-41719,FUR-FU-4072,AH-100301408,41,86.0,38.0,7,0.0
IT-2014-EB1384045-41706,FUR-CH-5441,EB-1384045,42,2092.0,720.0,5,0.1
IN-2015-AP1091527-42244,FUR-CH-5380,AP-1091527,43,2761.0,110.0,6,0.0
IN-2015-SW2027558-42125,TEC-MA-5007,SW-2027558,44,2174.0,500.0,7,0.0
MX-2015-JH15820141-42356,FUR-CH-4531,JH-15820141,45,3473.0,868.0,11,0.0
US-2012-AH10030140-41206,OFF-BI-4372,AH-100301404,46,49.0,18.0,4,0.2
IR-2015-TG1164060-42265,TEC-CO-3678,TG-1164060,47,2108.0,527.0,8,0.0
CA-2012-AH10030140-41273,OFF-LA-3231,AH-100301406,33,18.0,8.0,3,0.0
IN-2012-PB19210127-41259,FUR-BO-5762,PB-19210127,23,2197.0,153.0,5,0.0
MZ-2014-DG330087-41991,TEC-PH-5269,DG-330087,48,2582.0,593.0,4,0.0
IN-2013-SG2047058-41424,TEC-CO-4590,SG-2047058,49,1526.0,732.0,4,0.0
CA-2012-AH10030140-41020,OFF-BI-2937,AH-100301406,25,9.0,3.0,3,0.2
IN-2013-GP1474058-41419,FUR-TA-3766,GP-1474058,50,1745.0,226.0,2,0.0
IN-2015-MW182207-42221,OFF-AP-3577,MW-182207,51,4191.0,1164.0,9,0.1
CA-2012-AH10030140-41041,OFF-PA-4014,AH-100301404,32,8.0,3.0,2,0.0
IN-2015-CS1246011-42074,FUR-BO-5760,CS-1246011,52,3063.0,581.0,7,0.0
CA-2015-AH10030140-42357,OFF-AR-3276,AH-100301406,53,18.0,2.0,7,0.2
ES-2015-MS1798048-42227,TEC-PH-5839,MS-1798048,54,4473.0,313.0,7,0.0
IT-2014-KC1667548-41882,TEC-PH-3130,KC-1667548,55,1502.0,225.0,9,0.0
IN-2015-DB1340527-42022,FUR-CH-5774,DB-1340527,56,5048.0,656.0,11,0.0
CA-2015-AS10045140-42007,TEC-MA-3788,AS-100451408,57,695.0,-27.0,2,0.5
IT-2015-DK13090120-42345,FUR-BO-5760,DK-13090120,58,2188.0,1050.0,5,0.0
IN-2015-CS1184558-42354,FUR-TA-3779,CS-1184558,59,1920.0,652.0,4,0.0
MX-2015-EM1420082-42328,TEC-PH-5839,EM-1420082,60,1704.0,119.0,4,0.0
UP-2012-DW3480137-41221,FUR-TA-3771,DW-3480137,61,1858.0,130.0,4,0.0
IN-2014-AS1022527-41797,FUR-CH-4530,AS-1022527,62,3298.0,1055.0,7,0.0
MX-2012-ST2053093-41234,OFF-AP-4497,ST-2053093,63,2443.0,121.0,13,0.0
CG-2014-BW106533-41727,FUR-CH-4530,BW-106533,64,3808.0,1523.0,8,0.0
IN-2015-LA1678059-42242,FUR-TA-3422,LA-1678059,65,3427.0,-452.0,7,0.47
ES-2013-AB10150139-41537,TEC-PH-5355,AB-10150139,66,3441.0,38.0,6,0.1
IN-2015-JH158207-42140,TEC-PH-3147,JH-158207,67,2863.0,858.0,5,0.1
CA-2015-AS10045140-42218,TEC-MA-3329,AS-100451402,68,1439.0,-263.0,3,0.4
