Order_ID,Ship_Date,Ship_Mode,Delivery_Days,Shipping_Cost,Shipping_Cost_Category,Ship_Year,Ship_Month,Ship_Day
CA-2014-AB10015140-41954,2014-11-13,First Class,2,40.0,High,2014,11,13
IN-2014-JR162107-41675,2014-02-07,Second Class,2,923.0,High,2014,2,7
IN-2014-CR127307-41929,2014-10-18,First Class,1,915.0,High,2014,10,18
ES-2014-KM1637548-41667,2014-01-30,First Class,2,910.0,High,2014,1,30
SG-2014-RH9495111-41948,2014-11-06,Same Day,1,903.0,High,2014,11,6
IN-2014-JM156557-41818,2014-07-01,Second Class,3,897.0,High,2014,7,1
IN-2012-TS2134092-41219,2012-11-08,First Class,2,894.0,High,2012,11,8
IN-2013-MB1808592-41378,2013-04-18,Standard Class,4,878.0,High,2013,4,18
CA-2014-AB10015140-41954,2014-11-13,First Class,2,25.0,High,2014,11,13
CA-2012-AB10015140-40974,2012-03-07,First Class,1,11.0,Medium,2012,3,7
CA-2012-AB10015140-40974,2012-03-07,First Class,1,4.0,Medium,2012,3,7
ID-2013-AJ107801-41383,2013-04-22,First Class,3,835.0,High,2013,4,22
SA-2012-MM7260110-41269,2012-12-28,Second Class,2,832.0,High,2012,12,28
MX-2013-VF2171518-41591,2013-11-13,Same Day,0,810.0,High,2013,11,13
IN-2014-PF1912027-41796,2014-06-08,Second Class,2,804.0,High,2014,6,8
ES-2015-BP1118545-42216,2015-08-03,Second Class,3,801.0,High,2015,8,3
CA-2012-AB10015140-40958,2012-02-25,Standard Class,6,1.0,Low,2012,2,25
ES-2015-PJ1883564-42255,2015-09-14,Standard Class,6,778.0,High,2015,9,14
IN-2015-JS156857-42035,2015-02-01,First Class,1,766.0,High,2015,2,1
TZ-2015-RH9555129-42343,2015-12-07,Second Class,2,763.0,High,2015,12,7
PL-2013-AB600103-41494,2013-08-10,First Class,2,759.0,High,2013,8,10
CA-2012-AB10015140-40974,2012-03-07,First Class,1,1.0,Low,2012,3,7
IN-2012-JK1532527-41030,2012-05-02,First Class,1,752.0,High,2012,5,2
ES-2014-LB16795139-41697,2014-03-01,Second Class,2,730.0,High,2014,3,1
US-2015-NP1832582-42216,2015-08-01,First Class,1,728.0,High,2015,8,1
MX-2015-VD2167039-42252,2015-09-08,First Class,3,728.0,High,2015,9,8
IN-2012-PB19210127-41259,2012-12-19,First Class,3,725.0,High,2012,12,19
ES-2012-EB1411048-40981,2012-03-16,Second Class,3,725.0,High,2012,3,16
CA-2012-AH10030140-41020,2012-04-23,Second Class,2,55.0,High,2012,4,23
IN-2013-BP1123058-41329,2013-02-24,Same Day,0,704.0,High,2013,2,24
US-2012-RR1952536-41270,2012-12-29,Second Class,2,704.0,High,2012,12,29
ES-2013-BS1136545-41472,2013-07-19,First Class,2,699.0,High,2013,7,19
CA-2013-AH10030140-41635,2013-12-31,Standard Class,4,45.0,High,2013,12,31
IN-2012-DP131057-41215,2012-11-04,Second Class,2,689.0,High,2012,11,4
CA-2013-AH10030140-41635,2013-12-31,Standard Class,4,26.0,High,2013,12,31
CG-2012-AH1003033-41165,2012-09-14,First Class,1,678.0,High,2012,9,14
CA-2012-AH10030140-41041,2012-05-18,Standard Class,6,11.0,Medium,2012,5,18
CA-2012-AH10030140-41273,2012-12-31,First Class,1,8.0,Medium,2012,12,31
ES-2015-PO18865139-42018,2015-01-18,Standard Class,4,668.0,High,2015,1,18
IN-2012-DL128657-40918,2012-01-11,First Class,1,665.0,High,2012,1,11
ID-2014-JB1600059-41873,2014-08-26,Standard Class,4,660.0,High,2014,8,26
IN-2015-BF1100558-42319,2015-11-15,Standard Class,4,658.0,High,2015,11,15
IN-2015-VG2180558-42273,2015-09-28,Second Class,2,658.0,High,2015,9,28
ES-2013-GT14710139-41621,2013-12-17,Standard Class,4,656.0,High,2013,12,17
IT-2012-ZC2191048-41174,2012-09-24,First Class,2,655.0,High,2012,9,24
CA-2014-AH10030140-41719,2014-03-26,Second Class,5,5.0,Medium,2014,3,26
IT-2014-EB1384045-41706,2014-03-08,Same Day,0,652.0,High,2014,3,8
IN-2015-AP1091527-42244,2015-08-29,First Class,1,644.0,High,2015,8,29
IN-2015-SW2027558-42125,2015-05-01,Same Day,0,637.0,High,2015,5,1
