TimeID,OrderDate,OrderYear,OrderMonth,DayOfWeek,OrderQuarter
1,2014-11-11,2014,November,Tuesday,Q4
2,2014-02-05,2014,February,Wednesday,Q1
3,2014-10-17,2014,October,Friday,Q4
4,2014-01-28,2014,January,Tuesday,Q1
5,2014-11-05,2014,November,Wednesday,Q4
6,2014-06-28,2014,June,Saturday,Q2
7,2012-11-06,2012,November,Tuesday,Q4
8,2013-04-14,2013,April,Sunday,Q2
9,2012-03-06,2012,March,Tuesday,Q1
10,2013-04-19,2013,April,Friday,Q2
11,2012-12-26,2012,December,Wednesday,Q4
12,2013-11-13,2013,November,Wednesday,Q4
13,2014-06-06,2014,June,Friday,Q2
14,2015-07-31,2015,July,Friday,Q3
15,2012-02-19,2012,February,Sunday,Q1
16,2015-09-08,2015,September,Tuesday,Q3
17,2015-01-31,2015,January,Saturday,Q1
18,2015-12-05,2015,December,Saturday,Q4
19,2013-08-08,2013,August,Thursday,Q3
20,2012-05-01,2012,May,Tuesday,Q2
21,2014-02-27,2014,February,Thursday,Q1
22,2015-09-05,2015,September,Saturday,Q3
23,2012-12-16,2012,December,Sunday,Q4
24,2012-03-13,2012,March,Tuesday,Q1
25,2012-04-21,2012,April,Saturday,Q2
26,2013-02-24,2013,February,Sunday,Q1
27,2012-12-27,2012,December,Thursday,Q4
28,2013-07-17,2013,July,Wednesday,Q3
29,2013-12-27,2013,December,Friday,Q4
30,2012-11-02,2012,November,Friday,Q4
31,2012-09-13,2012,September,Thursday,Q3
32,2012-05-12,2012,May,Saturday,Q2
33,2012-12-30,2012,December,Sunday,Q4
34,2015-01-14,2015,January,Wednesday,Q1
35,2012-01-10,2012,January,Tuesday,Q1
36,2014-08-22,2014,August,Friday,Q3
37,2015-11-11,2015,November,Wednesday,Q4
38,2015-09-26,2015,September,Saturday,Q3
39,2013-12-13,2013,December,Friday,Q4
40,2012-09-22,2012,September,Saturday,Q3
41,2014-03-21,2014,March,Friday,Q1
42,2014-03-08,2014,March,Saturday,Q1
43,2015-08-28,2015,August,Friday,Q3
44,2015-05-01,2015,May,Friday,Q2
45,2015-12-18,2015,December,Friday,Q4
46,2012-10-24,2012,October,Wednesday,Q4
47,2015-09-18,2015,September,Friday,Q3
48,2014-12-18,2014,December,Thursday,Q4
49,2013-05-30,2013,May,Thursday,Q2
50,2013-05-25,2013,May,Saturday,Q2
51,2015-08-05,2015,August,Wednesday,Q3
52,2015-03-11,2015,March,Wednesday,Q1
53,2015-12-19,2015,December,Saturday,Q4
54,2015-08-11,2015,August,Tuesday,Q3
55,2014-08-31,2014,August,Sunday,Q3
56,2015-01-18,2015,January,Sunday,Q1
57,2015-01-03,2015,January,Saturday,Q1
58,2015-12-07,2015,December,Monday,Q4
59,2015-12-16,2015,December,Wednesday,Q4
60,2015-11-20,2015,November,Friday,Q4
61,2012-11-08,2012,November,Thursday,Q4
62,2014-06-07,2014,June,Saturday,Q2
63,2012-11-21,2012,November,Wednesday,Q4
64,2014-03-29,2014,March,Saturday,Q1
65,2015-08-26,2015,August,Wednesday,Q3
66,2013-09-20,2013,September,Friday,Q3
67,2015-05-16,2015,May,Saturday,Q2
68,2015-08-02,2015,August,Sunday,Q3
69,2014-11-24,2014,November,Monday,Q4
70,2012-10-27,2012,October,Saturday,Q4
