Order ID,Product ID,Customer ID,Sales,Profit,Quantity,Discount,TimeID
CA-2014-AB10015140-41954,TEC-PH-5816,AB-100151402,221,62,2,0,1
IN-2014-JR162107-41675,FUR-CH-5379,JR-162107,3709,-288,9,0.1,2
IN-2014-CR127307-41929,TEC-PH-5356,CR-127307,5175,919,9,0.1,3
ES-2014-KM1637548-41667,TEC-PH-5267,KM-1637548,2892,-96,5,0.1,4
SG-2014-RH9495111-41948,TEC-CO-6011,RH-9495111,2832,311,8,0,5
IN-2014-JM156557-41818,TEC-PH-5842,JM-156557,2862,763,5,0.1,6
IN-2012-TS2134092-41219,FUR-CH-5378,TS-2134092,1822,564,4,0,7
IN-2013-MB1808592-41378,FUR-TA-3764,MB-1808592,5244,996,6,0,8
CA-2014-AB10015140-41954,FUR-BO-5957,AB-100151402,341,54,2,0,1
CA-2012-AB10015140-40974,FUR-CH-4421,AB-100151404,48,5,1,0.2,9
CA-2012-AB10015140-40974,OFF-AR-5309,AB-100151404,17,4,3,0,9
ID-2013-AJ107801-41383,FUR-TA-3420,AJ-107801,4626,647,5,0,10
SA-2012-MM7260110-41269,TEC-PH-3807,MM-7260110,2616,1151,4,0,11
MX-2013-VF2171518-41591,FUR-CH-4530,VF-2171518,2221,622,7,0,12
IN-2014-PF1912027-41796,OFF-AP-4959,PF-1912027,3701,1036,12,0,13
ES-2015-BP1118545-42216,OFF-AP-3575,BP-1118545,1869,186,4,0.1,14
CA-2012-AB10015140-40958,OFF-ST-3078,AB-100151402,12,-2,2,0.2,15
ES-2015-PJ1883564-42255,OFF-AP-4743,PJ-1883564,7958,3979,14,0,16
IN-2015-JS156857-42035,TEC-CO-3597,JS-156857,2565,28,9,0.1,17
TZ-2015-RH9555129-42343,OFF-AP-4967,RH-9555129,3409,818,6,0,18
PL-2013-AB600103-41494,FUR-TA-4644,AB-600103,1977,276,4,0,19
CA-2012-AB10015140-40974,OFF-ST-3744,AB-100151404,242,4,3,0,9
IN-2012-JK1532527-41030,FUR-CH-5774,JK-1532527,2753,358,6,0,20
ES-2014-LB16795139-41697,OFF-AP-4960,LB-16795139,5273,1898,10,0,21
US-2015-NP1832582-42216,TEC-PH-5268,NP-1832582,1713,445,4,0,14
MX-2015-VD2167039-42252,FUR-TA-4643,VD-2167039,2106,526,8,0.2,22
IN-2012-PB19210127-41259,FUR-TA-5060,PB-19210127,1715,720,2,0,23
ES-2012-EB1411048-40981,OFF-AP-4743,EB-1411048,3069,1364,6,0.1,24
CA-2012-AH10030140-41020,OFF-FA-6129,AH-100301406,247,121,8,0,25
IN-2013-BP1123058-41329,FUR-CH-5443,BP-1123058,1878,582,4,0,26
US-2012-RR1952536-41270,TEC-PH-5841,RR-1952536,1696,-148,5,0.2,27
ES-2013-BS1136545-41472,TEC-MA-5503,BS-1136545,2402,763,9,0.15,28
CA-2013-AH10030140-41635,TEC-PH-4389,AH-100301404,668,75,9,0.2,29
IN-2012-DP131057-41215,OFF-AP-3579,DP-131057,2526,561,5,0.1,30
CA-2013-AH10030140-41635,OFF-ST-4291,AH-100301404,323,61,2,0,29
CG-2012-AH1003033-41165,TEC-PH-3148,AH-1003033,3817,1068,6,0,31
CA-2012-AH10030140-41041,FUR-CH-4840,AH-100301404,279,20,6,0.2,32
CA-2012-AH10030140-41273,TEC-AC-6340,AH-100301406,34,11,3,0,33
ES-2015-PO18865139-42018,TEC-CO-3598,PO-18865139,4141,1697,13,0,34
